,Location,Date,Value
296,Paseo del Bosque & Montano Rd Cyclists North,2017-11,6250.0
297,Paseo del Bosque & Montano Rd Cyclists South,2017-11,6402.0
298,Paseo del Bosque & Montano Rd Pedestrians North,2017-11,1774.0
299,Paseo del Bosque & Montano Rd Pedestrians South,2017-11,1928.0
300,Paseo del Bosque & Tingley Beach Cyclists IN NORTH,2017-11,5860.0
301,Paseo del Bosque & Tingley Beach Cyclists OUT SOUTH,2017-11,5933.0
302,Paseo del Bosque & Tingley Beach Pedestrians IN NORTH,2017-11,2385.0
303,Paseo del Bosque &Tingley Beach Pedestrians OUT SOUTH,2017-11,3203.0
304,Paseo del Norte & Rail Runner Bicycle Eastbound,2017-11,1861.0
305,Paseo del Norte & Rail Runner Bicycle Westbound,2017-11,2466.0
306,Paseo del Norte & Rail Runner PED Eastbound,2017-11,147.0
307,Paseo del Norte & Rail Runer PED Westbound,2017-11,3296.0
308,Jerry Cline Park Pedestrians IN West,2017-12,1756.0
309,Jerry Cline Park Pedestrians OUT East,2017-12,1715.0
310,Jerry Cline Park Bicyclists OUT East,2017-12,986.0
311,Erna Fergusson Library Bicycle Eastbound,2017-12,935.0
312,Erna Fergusson Library Bicycle Westbound,2017-12,895.0
313,Erna Fergusson Library PED Eastbound,2017-12,3700.0
314,Erna Fergusson Library PED Westbound,2017-12,1787.0
315,North Diversion Channel Trail & Indian School Rd Cyclists NORTH,2017-12,2354.0
316,North Diversion Channel Trail & Indian School Rd  Cyclists SOUTH,2017-12,2166.0
317,North Diversion Channel Trail & Indian School Pedestrians NORTH,2017-12,881.0
318,North Diversion Channel Trail & Indian School Pedestrians SOUTH,2017-12,973.0
319,North Diversion Channel Trail & Journal Center Cyclists IN NORTH,2017-12,2333.0
320,North Diversion Channel Trail & Journal Center Cyclists OUT SOUTH,2017-12,2294.0
321,North Diversion Channel Trail & Journal Center Pedestrians IN NORTH,2017-12,1011.0
322,North Diversion Channel Trail & Journal Center Pedestrians OUT SOUTH,2017-12,1008.0
323,Jerry Cline Park Cyclists IN West,2017-12,1132.0
324,Paseo del Bosque & Montano Rd Cyclists North,2017-12,4170.0
325,Paseo del Bosque & Montano Rd Cyclists South,2017-12,4148.0
326,Paseo del Bosque & Montano Rd Pedestrians North,2017-12,1657.0
327,Paseo del Bosque & Montano Rd Pedestrians South,2017-12,1752.0
328,Paseo del Bosque & Tingley Beach Cyclists IN NORTH,2017-12,3878.0
329,Paseo del Bosque & Tingley Beach Cyclists OUT SOUTH,2017-12,3856.0
330,Paseo del Bosque & Tingley Beach Pedestrians IN NORTH,2017-12,1962.0
331,Paseo del Bosque &Tingley Beach Pedestrians OUT SOUTH,2017-12,2171.0
332,Paseo del Norte & Rail Runner Bicycle Eastbound,2017-12,553.0
333,Paseo del Norte & Rail Runner Bicycle Westbound,2017-12,591.0
334,Paseo del Norte & Rail Runner PED Eastbound,2017-12,119.0
335,Paseo del Norte & Rail Runer PED Westbound,2017-12,3618.0
336,Jerry Cline Park Pedestrians IN West,2018-01,2024.0
337,Jerry Cline Park Pedestrians OUT East,2018-01,1970.0
338,Jerry Cline Park Bicyclists OUT East,2018-01,963.0
339,Erna Fergusson Library Bicycle Eastbound,2018-01,851.0
340,Erna Fergusson Library Bicycle Westbound,2018-01,875.0
341,Erna Fergusson Library PED Eastbound,2018-01,2822.0
342,Erna Fergusson Library PED Westbound,2018-01,1928.0
343,North Diversion Channel Trail & Indian School Rd Cyclists NORTH,2018-01,2781.0
344,North Diversion Channel Trail & Indian School Rd  Cyclists SOUTH,2018-01,2507.0
345,North Diversion Channel Trail & Indian School Pedestrians NORTH,2018-01,1093.0
346,North Diversion Channel Trail & Indian School Pedestrians SOUTH,2018-01,1217.0
347,North Diversion Channel Trail & Journal Center Cyclists IN NORTH,2018-01,2367.0
348,North Diversion Channel Trail & Journal Center Cyclists OUT SOUTH,2018-01,2223.0
349,North Diversion Channel Trail & Journal Center Pedestrians IN NORTH,2018-01,1282.0
350,North Diversion Channel Trail & Journal Center Pedestrians OUT SOUTH,2018-01,1248.0
351,Jerry Cline Park Cyclists IN West,2018-01,1166.0
352,Paseo del Bosque & Montano Rd Cyclists North,2018-01,3946.0
353,Paseo del Bosque & Montano Rd Cyclists South,2018-01,4058.0
354,Paseo del Bosque & Montano Rd Pedestrians North,2018-01,1579.0
355,Paseo del Bosque & Montano Rd Pedestrians South,2018-01,1727.0
356,Paseo del Bosque & Tingley Beach Cyclists IN NORTH,2018-01,3726.0
357,Paseo del Bosque & Tingley Beach Cyclists OUT SOUTH,2018-01,3826.0
358,Paseo del Bosque & Tingley Beach Pedestrians IN NORTH,2018-01,2230.0
359,Paseo del Bosque &Tingley Beach Pedestrians OUT SOUTH,2018-01,2412.0
360,Paseo del Norte & Rail Runner Bicycle Eastbound,2018-01,1071.0
361,Paseo del Norte & Rail Runner Bicycle Westbound,2018-01,1155.0
362,Paseo del Norte & Rail Runner PED Eastbound,2018-01,291.0
363,Paseo del Norte & Rail Runer PED Westbound,2018-01,297.0
364,Jerry Cline Park Pedestrians IN West,2018-02,1924.0
365,Jerry Cline Park Pedestrians OUT East,2018-02,1906.0
366,Jerry Cline Park Bicyclists OUT East,2018-02,1004.0
